Cycle,Date,Time,Device
1,21/04/2025,00:01:16,12
1,21/04/2025,00:01:36,1
1,21/04/2025,00:01:55,3
1,21/04/2025,00:02:13,0
1,21/04/2025,00:02:31,1
1,21/04/2025,00:02:49,2
1,21/04/2025,00:03:08,3
1,21/04/2025,00:03:26,1
1,21/04/2025,00:03:44,3
1,21/04/2025,00:04:03,4
1,21/04/2025,00:04:21,2
1,21/04/2025,00:04:41,2
1,21/04/2025,00:04:59,4
1,21/04/2025,00:05:17,1
1,21/04/2025,00:05:35,1
1,21/04/2025,00:05:54,2
1,21/04/2025,00:06:13,1
1,21/04/2025,00:06:31,1
1,21/04/2025,00:06:49,1
1,21/04/2025,00:07:08,2
1,21/04/2025,00:07:26,3
1,21/04/2025,00:07:44,2
1,21/04/2025,00:08:03,0
1,21/04/2025,00:08:21,3
1,21/04/2025,00:08:39,0
1,21/04/2025,00:08:57,1
1,21/04/2025,00:09:18,1
1,21/04/2025,00:09:38,2
1,21/04/2025,00:51:27,3
1,21/04/2025,00:52:18,3
1,21/04/2025,00:53:10,4
1,21/04/2025,00:54:01,4
1,21/04/2025,00:54:52,2
1,21/04/2025,00:55:44,1
1,21/04/2025,00:56:34,No device
1,21/04/2025,00:57:25,No device
1,21/04/2025,00:58:18,1
1,21/04/2025,00:59:09,1
1,21/04/2025,01:02:43,3
1,21/04/2025,01:03:33,No device
1,21/04/2025,01:04:25,2
1,21/04/2025,01:05:16,1
1,21/04/2025,01:06:07,1
1,21/04/2025,01:06:59,1
1,21/04/2025,01:07:50,2
1,21/04/2025,01:08:42,5
1,21/04/2025,01:09:34,3
1,21/04/2025,01:10:25,5
1,21/04/2025,01:11:16,4
1,21/04/2025,01:12:08,2
1,21/04/2025,01:12:59,4
1,21/04/2025,01:13:50,7
1,21/04/2025,01:14:41,5
1,21/04/2025,01:15:33,4
1,21/04/2025,01:16:24,3
1,21/04/2025,01:17:15,4
1,21/04/2025,01:18:06,4
1,21/04/2025,01:18:58,1
1,21/04/2025,01:19:49,1
1,21/04/2025,01:20:39,No device
1,21/04/2025,01:21:32,1
1,21/04/2025,01:22:22,No device
1,21/04/2025,01:23:13,No device
1,21/04/2025,01:24:06,1
1,21/04/2025,01:24:56,No device
1,21/04/2025,01:26:39,1
1,21/04/2025,01:27:29,No device
1,21/04/2025,01:28:21,1
1,21/04/2025,01:29:14,1
1,21/04/2025,01:30:10,2
1,21/04/2025,01:31:06,1
1,21/04/2025,01:31:58,1
1,21/04/2025,01:32:49,2
1,21/04/2025,01:33:40,2
1,21/04/2025,01:34:30,No device
1,21/04/2025,01:35:23,1
1,21/04/2025,01:36:14,1
1,21/04/2025,01:37:05,1
1,21/04/2025,01:37:55,No device
1,21/04/2025,01:38:48,3
1,21/04/2025,01:39:38,No device
1,21/04/2025,01:40:29,No device
1,21/04/2025,01:41:22,1
1,21/04/2025,01:42:13,2
1,21/04/2025,01:43:03,No device
1,21/04/2025,01:43:56,1
1,21/04/2025,01:44:47,4
1,21/04/2025,01:45:37,No device
1,21/04/2025,01:46:29,2
1,21/04/2025,01:47:19,No device
1,21/04/2025,01:48:11,No device
1,21/04/2025,01:49:03,1
1,21/04/2025,01:49:55,1
1,21/04/2025,01:50:46,1
1,21/04/2025,01:51:36,No device
1,21/04/2025,01:52:27,No device
1,21/04/2025,01:53:20,1
1,21/04/2025,01:54:12,1
1,21/04/2025,01:55:04,1
1,21/04/2025,01:55:54,No device
1,21/04/2025,01:56:47,1
1,21/04/2025,01:57:38,No device
1,21/04/2025,01:58:29,No device
1,21/04/2025,01:59:20,No device
1,21/04/2025,02:00:13,2
1,21/04/2025,02:01:04,2
1,21/04/2025,02:01:55,1
1,21/04/2025,02:02:47,2
1,21/04/2025,02:03:37,No device
1,21/04/2025,02:04:29,7
1,21/04/2025,02:05:20,3
1,21/04/2025,02:06:11,2
1,21/04/2025,02:07:02,3
1,21/04/2025,02:07:55,4
1,21/04/2025,02:08:46,4
1,21/04/2025,02:09:37,7
1,21/04/2025,02:10:29,3
1,21/04/2025,02:11:20,1
1,21/04/2025,02:12:11,4
1,21/04/2025,02:13:02,4
1,21/04/2025,02:13:54,3
1,21/04/2025,02:14:45,4
1,21/04/2025,02:15:36,1
1,21/04/2025,02:16:28,1
1,21/04/2025,02:17:19,1
1,21/04/2025,02:18:10,1
1,21/04/2025,02:19:01,2
1,21/04/2025,02:19:53,1
1,21/04/2025,02:20:44,1
1,21/04/2025,02:21:35,1
1,21/04/2025,02:22:25,No device
1,21/04/2025,02:23:17,4
1,21/04/2025,02:24:08,1
1,21/04/2025,02:25:00,2
1,21/04/2025,02:25:51,1
1,21/04/2025,02:26:43,4
1,21/04/2025,02:27:34,1
1,21/04/2025,02:28:24,No device
1,21/04/2025,02:29:17,3
1,21/04/2025,02:30:08,1
1,21/04/2025,02:31:00,1
1,21/04/2025,02:31:51,1
1,21/04/2025,02:32:41,No device
1,21/04/2025,02:33:32,No device
1,21/04/2025,02:34:23,No device
1,21/04/2025,02:35:16,1
1,21/04/2025,02:36:06,No device
1,21/04/2025,02:36:59,2
1,21/04/2025,02:37:50,1
1,21/04/2025,02:38:40,No device
1,21/04/2025,02:39:31,No device
1,21/04/2025,02:40:22,No device
1,21/04/2025,02:41:15,1
1,21/04/2025,02:42:06,1
1,21/04/2025,02:42:57,3
1,21/04/2025,02:43:48,1
1,21/04/2025,02:44:39,1
1,21/04/2025,02:45:30,No device
1,21/04/2025,02:46:22,4
1,21/04/2025,02:47:13,3
1,21/04/2025,02:48:04,4
1,21/04/2025,02:48:56,2
1,21/04/2025,02:49:47,6
1,21/04/2025,02:50:39,4
1,21/04/2025,02:51:30,4
1,21/04/2025,02:52:21,1
1,21/04/2025,02:53:12,2
1,21/04/2025,02:54:04,4
1,21/04/2025,02:54:55,5
1,21/04/2025,02:55:46,3
1,21/04/2025,02:56:37,2
1,21/04/2025,02:57:28,2
1,21/04/2025,02:58:20,1
1,21/04/2025,02:59:11,3
1,21/04/2025,03:00:02,2
1,21/04/2025,03:00:52,No device
1,21/04/2025,03:01:43,No device
1,21/04/2025,03:02:36,2
1,21/04/2025,03:03:27,1
1,21/04/2025,03:04:18,1
1,21/04/2025,03:05:08,No device
1,21/04/2025,03:06:00,1
1,21/04/2025,03:06:52,1
1,21/04/2025,03:07:42,No device
1,21/04/2025,03:08:36,2
1,21/04/2025,03:09:26,No device
1,21/04/2025,03:10:19,1
1,21/04/2025,03:11:10,2
1,21/04/2025,03:13:11,2
1,21/04/2025,03:14:03,1
1,21/04/2025,03:14:53,No device
1,21/04/2025,03:15:45,1
1,21/04/2025,03:16:37,1
1,21/04/2025,03:17:29,1
1,21/04/2025,03:18:20,2
1,21/04/2025,03:19:12,1
1,21/04/2025,03:20:03,2
1,21/04/2025,03:20:54,1
1,21/04/2025,03:21:44,No device
1,21/04/2025,03:22:39,1
1,21/04/2025,03:23:30,1
1,21/04/2025,03:24:21,1
1,21/04/2025,03:25:12,1
1,21/04/2025,03:26:04,1
1,21/04/2025,03:26:55,4
1,21/04/2025,03:27:45,No device
1,21/04/2025,03:28:38,1
1,21/04/2025,03:29:28,No device
1,21/04/2025,03:30:20,1
1,21/04/2025,03:31:12,2
1,21/04/2025,03:32:03,5
1,21/04/2025,03:32:53,No device
1,21/04/2025,03:33:45,1
1,21/04/2025,03:34:37,4
1,21/04/2025,03:35:28,2
1,21/04/2025,03:36:19,1
1,21/04/2025,03:37:10,2
1,21/04/2025,03:38:02,2
1,21/04/2025,03:38:53,1
1,21/04/2025,03:39:43,No device
1,21/04/2025,03:40:35,2
1,21/04/2025,03:41:26,1
1,21/04/2025,03:42:18,1
1,21/04/2025,03:43:09,1
1,21/04/2025,03:43:59,No device
1,21/04/2025,03:44:51,1
1,21/04/2025,03:45:41,No device
1,21/04/2025,03:46:34,1
1,21/04/2025,03:47:25,3
1,21/04/2025,03:48:16,1
1,21/04/2025,03:49:08,1
1,21/04/2025,03:49:59,3
1,21/04/2025,03:50:49,No device
1,21/04/2025,03:51:41,1
1,21/04/2025,03:52:32,1
1,21/04/2025,03:53:24,3
1,21/04/2025,03:54:15,1
1,21/04/2025,03:55:06,4
1,21/04/2025,03:55:56,No device
1,21/04/2025,03:56:48,1
1,21/04/2025,03:57:40,2
1,21/04/2025,03:58:34,1
1,21/04/2025,03:59:25,1
1,21/04/2025,04:00:15,No device
1,21/04/2025,04:01:08,2
1,21/04/2025,04:01:58,No device
1,21/04/2025,04:02:49,No device
1,21/04/2025,04:03:42,2
1,21/04/2025,04:04:33,1
1,21/04/2025,04:05:23,No device
1,21/04/2025,04:06:14,No device
1,21/04/2025,04:07:06,4
1,21/04/2025,04:07:58,4
1,21/04/2025,04:08:49,2
1,21/04/2025,04:09:39,No device
1,21/04/2025,04:10:30,No device
1,21/04/2025,04:11:23,1
1,21/04/2025,04:12:13,No device
1,21/04/2025,04:13:06,1
1,21/04/2025,04:13:56,No device
1,21/04/2025,04:14:48,3
1,21/04/2025,04:15:38,No device
1,21/04/2025,04:17:39,1
1,21/04/2025,04:18:30,1
1,21/04/2025,04:19:21,No device
1,21/04/2025,04:20:12,No device
1,21/04/2025,04:21:04,1
1,21/04/2025,04:21:55,2
1,21/04/2025,04:22:46,1
1,21/04/2025,04:23:38,1
1,21/04/2025,04:24:28,No device
1,21/04/2025,04:25:20,5
1,21/04/2025,04:26:12,1
1,21/04/2025,04:27:03,1
1,21/04/2025,04:27:55,1
1,21/04/2025,04:28:45,No device
1,21/04/2025,04:29:37,1
1,21/04/2025,04:30:27,No device
1,21/04/2025,04:31:20,1
1,21/04/2025,04:32:11,2
1,21/04/2025,04:33:02,4
1,21/04/2025,04:33:52,No device
1,21/04/2025,04:34:44,1
1,21/04/2025,04:35:34,No device
1,21/04/2025,04:36:27,1
1,21/04/2025,04:37:17,No device
1,21/04/2025,04:38:08,No device
1,21/04/2025,04:38:59,No device
1,21/04/2025,04:39:52,1
1,21/04/2025,04:40:42,No device
1,21/04/2025,04:41:33,No device
1,21/04/2025,04:42:24,No device
1,21/04/2025,04:43:16,1
1,21/04/2025,04:44:07,1
1,21/04/2025,04:44:59,1
1,21/04/2025,04:45:50,2
1,21/04/2025,04:46:41,1
1,21/04/2025,04:47:32,2
1,21/04/2025,04:48:23,1
1,21/04/2025,04:49:13,No device
1,21/04/2025,04:50:06,2
1,21/04/2025,04:50:56,No device
1,21/04/2025,04:51:47,No device
1,21/04/2025,04:52:40,1
1,21/04/2025,04:53:31,2
1,21/04/2025,04:54:22,2
1,21/04/2025,04:55:12,No device
1,21/04/2025,04:56:05,1
