Cycle,Date,Time,Device
1,14/04/2025,00:00:00,1
1,14/04/2025,00:00:00,1
1,14/04/2025,00:00:21,1
1,14/04/2025,00:00:21,1
1,14/04/2025,00:00:42,0
1,14/04/2025,00:00:42,0
1,14/04/2025,00:01:03,1
1,14/04/2025,00:01:03,1
1,14/04/2025,00:01:24,2
1,14/04/2025,00:01:24,2
1,14/04/2025,00:01:45,1
1,14/04/2025,00:01:45,1
1,14/04/2025,00:02:06,2
1,14/04/2025,00:02:06,2
1,14/04/2025,00:02:27,2
1,14/04/2025,00:02:27,2
1,14/04/2025,00:02:48,2
1,14/04/2025,00:02:48,2
1,14/04/2025,00:03:09,0
1,14/04/2025,00:03:09,0
1,14/04/2025,00:03:30,1
1,14/04/2025,00:03:30,1
1,14/04/2025,00:03:51,0
1,14/04/2025,00:03:51,0
1,14/04/2025,00:04:12,0
1,14/04/2025,00:04:12,0
1,14/04/2025,00:04:33,2
1,14/04/2025,00:04:33,2
1,14/04/2025,00:04:54,1
1,14/04/2025,00:04:54,1
1,14/04/2025,00:05:16,0
1,14/04/2025,00:05:16,0
1,14/04/2025,00:05:37,0
1,14/04/2025,00:05:37,0
1,14/04/2025,00:05:58,0
1,14/04/2025,00:05:58,0
1,14/04/2025,00:06:19,1
1,14/04/2025,00:06:19,1
1,14/04/2025,00:06:40,0
1,14/04/2025,00:06:40,0
1,14/04/2025,00:07:01,0
1,14/04/2025,00:07:01,0
1,14/04/2025,00:07:22,0
1,14/04/2025,00:07:22,0
1,14/04/2025,00:07:43,1
1,14/04/2025,00:07:43,1
1,14/04/2025,00:08:04,2
1,14/04/2025,00:08:04,2
1,14/04/2025,00:08:25,1
1,14/04/2025,00:08:25,1
1,14/04/2025,00:08:46,1
1,14/04/2025,00:09:41,1
1,14/04/2025,00:09:41,1
1,14/04/2025,00:10:02,3
1,14/04/2025,00:10:02,3
1,14/04/2025,00:10:23,1
1,14/04/2025,00:10:23,1
1,14/04/2025,00:10:44,0
1,14/04/2025,00:10:44,0
1,14/04/2025,00:11:05,0
1,14/04/2025,00:11:06,0
1,14/04/2025,00:11:27,0
1,14/04/2025,00:11:27,0
1,14/04/2025,00:11:48,1
1,14/04/2025,00:13:09,1
1,14/04/2025,00:13:09,1
1,14/04/2025,00:13:27,0
1,14/04/2025,00:13:27,0
1,14/04/2025,00:13:45,0
1,14/04/2025,00:13:45,0
1,14/04/2025,00:14:03,0
1,14/04/2025,00:14:55,1
1,14/04/2025,00:14:55,1
1,14/04/2025,00:15:16,4
1,14/04/2025,00:15:16,4
1,14/04/2025,00:15:37,2
1,14/04/2025,00:15:37,2
1,14/04/2025,00:15:58,1
1,14/04/2025,00:15:58,1
1,14/04/2025,00:16:19,0
1,14/04/2025,00:16:19,0
1,14/04/2025,00:16:40,0
1,14/04/2025,00:16:40,0
1,14/04/2025,00:16:58,0
1,14/04/2025,00:16:58,0
1,14/04/2025,00:17:16,0
1,14/04/2025,00:17:17,0
1,14/04/2025,00:17:34,1
1,14/04/2025,00:17:34,1
1,14/04/2025,00:17:52,0
1,14/04/2025,00:17:52,0
1,14/04/2025,00:18:10,0
1,14/04/2025,00:18:10,0
1,14/04/2025,00:18:28,0
1,14/04/2025,00:18:28,0
1,14/04/2025,00:18:46,0
1,14/04/2025,00:18:47,0
1,14/04/2025,00:19:04,1
1,14/04/2025,00:19:05,1
1,14/04/2025,00:19:22,0
1,14/04/2025,00:19:23,0
1,14/04/2025,00:20:25,4
1,14/04/2025,00:20:25,4
1,14/04/2025,00:20:46,1
1,14/04/2025,00:20:46,1
1,14/04/2025,00:21:09,1
1,14/04/2025,00:21:09,1
1,14/04/2025,00:21:31,2
1,14/04/2025,00:21:31,2
1,14/04/2025,00:21:49,1
1,14/04/2025,00:21:49,1
1,14/04/2025,00:22:07,6
1,14/04/2025,00:22:07,6
1,14/04/2025,00:22:25,2
1,14/04/2025,00:22:25,2
1,14/04/2025,00:22:43,0
1,14/04/2025,00:22:43,0
1,14/04/2025,00:23:01,0
1,14/04/2025,00:23:01,0
1,14/04/2025,00:24:00,1
1,14/04/2025,00:24:00,1
1,14/04/2025,00:24:19,0
1,14/04/2025,00:24:19,0
1,14/04/2025,00:24:37,0
1,14/04/2025,00:24:37,0
1,14/04/2025,00:24:55,0
1,14/04/2025,00:24:55,0
1,14/04/2025,00:25:13,0
1,14/04/2025,00:25:13,0
1,14/04/2025,00:25:31,0
1,14/04/2025,00:25:31,0
1,14/04/2025,00:25:49,0
1,14/04/2025,00:25:49,0
1,14/04/2025,00:26:50,1
1,14/04/2025,00:26:50,1
1,14/04/2025,00:27:11,1
1,14/04/2025,00:27:11,1
1,14/04/2025,00:27:32,2
1,14/04/2025,00:27:32,2
1,14/04/2025,00:27:50,2
1,14/04/2025,00:27:50,2
1,14/04/2025,00:28:08,0
1,14/04/2025,00:28:08,0
1,14/04/2025,00:28:26,0
1,14/04/2025,00:28:26,0
1,14/04/2025,00:28:44,0
1,14/04/2025,00:28:44,0
1,14/04/2025,00:29:02,0
1,14/04/2025,00:29:02,0
1,14/04/2025,00:29:20,0
1,14/04/2025,00:29:20,0
1,14/04/2025,00:29:38,0
1,14/04/2025,00:29:38,0
1,14/04/2025,00:29:56,0
1,14/04/2025,00:29:56,0
1,14/04/2025,00:30:14,0
1,14/04/2025,00:30:14,0
1,14/04/2025,00:30:32,0
1,14/04/2025,00:30:32,0
1,14/04/2025,00:30:50,0
1,14/04/2025,00:30:50,0
1,14/04/2025,00:31:08,0
1,14/04/2025,00:31:08,0
1,14/04/2025,00:31:26,0
1,14/04/2025,00:31:26,0
1,14/04/2025,00:31:44,0
1,14/04/2025,00:31:44,0
1,14/04/2025,00:32:02,0
1,14/04/2025,00:32:02,0
1,14/04/2025,00:32:20,0
1,14/04/2025,00:32:20,0
1,14/04/2025,00:32:38,1
1,14/04/2025,00:32:38,1
1,14/04/2025,00:32:56,1
1,14/04/2025,00:32:56,1
1,14/04/2025,00:33:14,0
1,14/04/2025,00:33:14,0
1,14/04/2025,00:34:20,1
1,14/04/2025,00:34:20,1
1,14/04/2025,00:34:41,1
1,14/04/2025,00:34:41,1
1,14/04/2025,00:35:02,1
1,14/04/2025,00:35:02,1
1,14/04/2025,00:35:23,0
1,14/04/2025,00:35:23,0
1,14/04/2025,00:35:44,0
1,14/04/2025,00:35:44,0
1,14/04/2025,00:36:02,1
1,14/04/2025,00:36:02,1
1,14/04/2025,00:36:20,0
1,14/04/2025,00:36:20,0
1,14/04/2025,00:36:38,0
1,14/04/2025,00:36:39,0
1,14/04/2025,00:36:56,0
1,14/04/2025,00:36:57,0
1,14/04/2025,00:38:01,2
1,14/04/2025,00:38:01,2
