Cycle,Date,Time,Device
1,15/04/2025,00:00:15,3
1,15/04/2025,00:00:33,2
1,15/04/2025,00:00:51,0
1,15/04/2025,00:01:09,1
1,15/04/2025,00:01:27,0
1,15/04/2025,00:01:45,0
1,15/04/2025,00:02:03,1
1,15/04/2025,00:02:21,0
1,15/04/2025,00:02:39,0
1,15/04/2025,00:02:57,0
1,15/04/2025,00:03:15,0
1,15/04/2025,00:03:33,1
1,15/04/2025,00:03:51,1
1,15/04/2025,00:04:09,4
1,15/04/2025,00:04:27,1
1,15/04/2025,00:04:45,1
1,15/04/2025,00:05:03,0
1,15/04/2025,00:05:21,1
1,15/04/2025,00:05:39,0
1,15/04/2025,00:05:57,1
1,15/04/2025,00:06:15,0
1,15/04/2025,00:06:33,0
1,15/04/2025,00:06:51,0
1,15/04/2025,00:07:09,2
1,15/04/2025,00:07:27,0
1,15/04/2025,00:07:45,0
1,15/04/2025,00:08:03,1
1,15/04/2025,00:08:21,0
1,15/04/2025,00:08:38,2
1,15/04/2025,00:08:56,0
1,15/04/2025,00:09:14,1
1,15/04/2025,00:09:32,0
1,15/04/2025,00:09:50,0
1,15/04/2025,00:10:08,0
1,15/04/2025,00:10:26,0
1,15/04/2025,00:10:44,1
1,15/04/2025,00:11:02,1
1,15/04/2025,00:11:20,0
1,15/04/2025,00:11:38,0
1,15/04/2025,00:11:56,0
1,15/04/2025,00:12:14,1
1,15/04/2025,00:12:32,2
1,15/04/2025,00:12:50,1
1,15/04/2025,00:13:08,2
1,15/04/2025,00:13:26,1
1,15/04/2025,00:13:44,2
1,15/04/2025,00:14:02,0
1,15/04/2025,00:14:20,0
1,15/04/2025,00:14:38,0
1,15/04/2025,00:14:56,0
1,15/04/2025,00:15:14,3
1,15/04/2025,00:15:32,2
1,15/04/2025,00:15:50,2
1,15/04/2025,00:16:08,3
1,15/04/2025,00:16:26,0
1,15/04/2025,00:16:44,0
1,15/04/2025,00:17:02,0
1,15/04/2025,00:17:20,1
1,15/04/2025,00:17:38,0
1,15/04/2025,00:17:56,0
1,15/04/2025,00:18:14,3
1,15/04/2025,00:18:32,0
1,15/04/2025,00:18:50,1
1,15/04/2025,00:19:08,3
1,15/04/2025,00:19:26,0
1,15/04/2025,00:19:44,2
1,15/04/2025,00:20:02,1
1,15/04/2025,00:20:20,0
1,15/04/2025,00:20:38,0
1,15/04/2025,00:20:56,0
1,15/04/2025,00:21:14,3
1,15/04/2025,00:21:32,1
1,15/04/2025,00:21:50,0
1,15/04/2025,00:22:08,0
1,15/04/2025,00:22:26,0
1,15/04/2025,00:22:44,0
1,15/04/2025,00:23:02,0
1,15/04/2025,00:23:20,3
1,15/04/2025,00:23:38,1
1,15/04/2025,00:23:56,0
1,15/04/2025,00:24:14,0
1,15/04/2025,00:24:32,0
1,15/04/2025,00:24:50,0
1,15/04/2025,00:25:07,3
1,15/04/2025,00:25:25,1
1,15/04/2025,00:25:43,2
1,15/04/2025,00:26:01,1
1,15/04/2025,00:26:19,0
1,15/04/2025,00:26:37,0
1,15/04/2025,00:26:55,1
1,15/04/2025,00:27:13,3
1,15/04/2025,00:27:31,1
1,15/04/2025,00:27:49,0
1,15/04/2025,00:28:07,0
1,15/04/2025,00:28:25,1
1,15/04/2025,00:28:43,2
1,15/04/2025,00:29:01,2
1,15/04/2025,00:29:19,4
1,15/04/2025,00:29:37,1
1,15/04/2025,00:29:55,1
1,15/04/2025,00:30:13,2
1,15/04/2025,00:30:31,1
1,15/04/2025,00:30:49,1
1,15/04/2025,00:31:07,2
1,15/04/2025,00:31:25,2
1,15/04/2025,00:31:43,2
1,15/04/2025,00:32:01,2
1,15/04/2025,00:32:19,1
1,15/04/2025,00:32:37,1
1,15/04/2025,00:32:55,1
1,15/04/2025,00:33:13,4
1,15/04/2025,00:33:31,4
1,15/04/2025,00:33:49,8
1,15/04/2025,00:34:07,2
1,15/04/2025,00:34:25,0
1,15/04/2025,00:34:43,2
1,15/04/2025,00:35:01,1
1,15/04/2025,00:35:19,3
1,15/04/2025,00:35:37,1
1,15/04/2025,00:35:55,1
1,15/04/2025,00:36:13,1
1,15/04/2025,00:36:31,1
1,15/04/2025,00:36:49,1
1,15/04/2025,00:37:07,1
1,15/04/2025,00:37:25,1
1,15/04/2025,00:37:43,2
1,15/04/2025,00:38:01,2
1,15/04/2025,00:38:19,3
1,15/04/2025,00:38:37,3
1,15/04/2025,00:38:55,2
1,15/04/2025,00:39:13,6
1,15/04/2025,00:39:31,6
1,15/04/2025,00:39:49,1
1,15/04/2025,00:40:07,1
1,15/04/2025,00:40:25,1
1,15/04/2025,00:40:43,2
1,15/04/2025,00:41:01,2
1,15/04/2025,00:41:19,5
1,15/04/2025,00:41:37,3
1,15/04/2025,00:41:54,3
1,15/04/2025,00:42:12,0
1,15/04/2025,00:42:30,1
1,15/04/2025,00:42:48,1
1,15/04/2025,00:43:06,1
1,15/04/2025,00:43:24,0
1,15/04/2025,00:43:42,4
1,15/04/2025,00:44:00,1
1,15/04/2025,00:44:18,2
1,15/04/2025,00:44:36,0
1,15/04/2025,00:44:54,4
1,15/04/2025,00:45:12,1
1,15/04/2025,00:45:30,1
1,15/04/2025,00:45:48,0
1,15/04/2025,00:46:06,4
1,15/04/2025,00:46:24,1
1,15/04/2025,00:46:42,1
1,15/04/2025,00:47:00,3
1,15/04/2025,00:47:18,3
1,15/04/2025,00:47:36,2
1,15/04/2025,00:47:54,1
1,15/04/2025,00:48:12,1
1,15/04/2025,00:48:30,1
1,15/04/2025,00:48:48,1
1,15/04/2025,00:49:06,2
1,15/04/2025,00:49:24,2
1,15/04/2025,00:49:42,4
1,15/04/2025,00:50:00,4
1,15/04/2025,00:50:18,1
1,15/04/2025,00:50:36,4
1,15/04/2025,00:50:54,1
1,15/04/2025,00:51:12,0
1,15/04/2025,00:51:30,2
1,15/04/2025,00:51:48,3
1,15/04/2025,00:52:06,1
1,15/04/2025,00:52:24,2
1,15/04/2025,00:52:42,1
1,15/04/2025,00:53:00,3
1,15/04/2025,00:53:18,3
1,15/04/2025,00:53:36,2
1,15/04/2025,00:53:54,4
1,15/04/2025,00:54:12,2
1,15/04/2025,00:54:30,1
1,15/04/2025,00:54:47,1
1,15/04/2025,00:55:05,2
1,15/04/2025,00:55:23,5
1,15/04/2025,00:55:41,1
1,15/04/2025,00:55:59,2
1,15/04/2025,00:56:17,2
1,15/04/2025,00:56:35,1
1,15/04/2025,00:56:53,0
1,15/04/2025,00:57:11,2
1,15/04/2025,00:57:29,0
1,15/04/2025,00:57:47,1
1,15/04/2025,00:58:05,0
1,15/04/2025,00:58:23,1
1,15/04/2025,00:58:41,0
1,15/04/2025,00:58:59,0
1,15/04/2025,00:59:17,1
1,15/04/2025,00:59:35,0
1,15/04/2025,00:59:53,0
1,15/04/2025,01:00:11,1
1,15/04/2025,01:00:29,0
1,15/04/2025,01:00:47,2
1,15/04/2025,01:01:05,3
1,15/04/2025,01:01:23,5
1,15/04/2025,01:01:41,2
1,15/04/2025,01:01:59,3
1,15/04/2025,01:02:17,3
1,15/04/2025,01:02:35,3
1,15/04/2025,01:02:53,1
1,15/04/2025,01:03:11,1
1,15/04/2025,01:03:29,1
1,15/04/2025,01:03:47,4
1,15/04/2025,01:04:05,1
1,15/04/2025,01:04:23,1
1,15/04/2025,01:04:41,2
1,15/04/2025,01:04:59,0
1,15/04/2025,01:05:17,1
1,15/04/2025,01:05:35,1
1,15/04/2025,01:05:53,1
1,15/04/2025,01:06:11,1
1,15/04/2025,01:06:29,1
1,15/04/2025,01:06:47,0
1,15/04/2025,01:07:05,1
1,15/04/2025,01:07:23,2
1,15/04/2025,01:07:41,1
1,15/04/2025,01:07:59,1
1,15/04/2025,01:08:17,0
1,15/04/2025,01:08:35,2
1,15/04/2025,01:08:53,1
1,15/04/2025,01:09:11,6
1,15/04/2025,01:09:29,1
1,15/04/2025,01:09:47,1
1,15/04/2025,01:10:04,1
1,15/04/2025,01:10:22,1
1,15/04/2025,01:10:40,0
1,15/04/2025,01:10:58,0
1,15/04/2025,01:11:16,6
1,15/04/2025,01:11:34,3
1,15/04/2025,01:11:52,4
1,15/04/2025,01:12:10,4
1,15/04/2025,01:12:28,2
1,15/04/2025,01:12:46,1
1,15/04/2025,01:13:05,0
1,15/04/2025,01:13:23,1
1,15/04/2025,01:13:41,0
1,15/04/2025,01:13:59,0
1,15/04/2025,01:14:17,0
1,15/04/2025,01:14:35,0
1,15/04/2025,01:14:53,0
1,15/04/2025,01:15:11,0
1,15/04/2025,01:15:29,1
1,15/04/2025,01:15:47,0
1,15/04/2025,01:16:05,1
1,15/04/2025,01:16:23,3
