Cycle,Date,Time,Device
1,16/04/2025,00:00:07,5
1,16/04/2025,00:00:25,2
1,16/04/2025,00:00:42,0
1,16/04/2025,00:01:00,1
1,16/04/2025,00:01:18,1
1,16/04/2025,00:01:36,1
1,16/04/2025,00:01:54,1
1,16/04/2025,00:02:12,1
1,16/04/2025,00:02:30,2
1,16/04/2025,00:02:48,3
1,16/04/2025,00:03:06,1
1,16/04/2025,00:03:24,0
1,16/04/2025,00:03:42,3
1,16/04/2025,00:04:00,2
1,16/04/2025,00:04:18,4
1,16/04/2025,00:04:36,2
1,16/04/2025,00:04:54,1
1,16/04/2025,00:05:12,1
1,16/04/2025,00:05:30,2
1,16/04/2025,00:05:48,1
1,16/04/2025,00:06:06,1
1,16/04/2025,00:06:24,3
1,16/04/2025,00:06:42,3
1,16/04/2025,00:07:00,2
1,16/04/2025,00:07:18,2
1,16/04/2025,00:07:36,1
1,16/04/2025,00:07:54,2
1,16/04/2025,00:08:12,1
1,16/04/2025,00:08:30,1
1,16/04/2025,00:08:48,1
1,16/04/2025,00:09:06,0
1,16/04/2025,00:09:24,3
1,16/04/2025,00:09:42,0
1,16/04/2025,00:10:00,2
1,16/04/2025,00:10:18,2
1,16/04/2025,00:10:36,2
1,16/04/2025,00:10:54,1
1,16/04/2025,00:11:12,2
1,16/04/2025,00:11:30,0
1,16/04/2025,00:11:48,1
1,16/04/2025,00:12:06,1
1,16/04/2025,00:12:24,1
1,16/04/2025,00:12:42,0
1,16/04/2025,00:13:00,2
1,16/04/2025,00:13:18,1
1,16/04/2025,00:13:36,0
1,16/04/2025,00:13:54,0
1,16/04/2025,00:14:12,1
1,16/04/2025,00:14:30,2
1,16/04/2025,00:14:48,3
1,16/04/2025,00:15:06,0
1,16/04/2025,00:15:24,1
1,16/04/2025,00:15:42,1
1,16/04/2025,00:16:00,4
1,16/04/2025,00:16:18,1
1,16/04/2025,00:16:36,1
1,16/04/2025,00:16:54,1
1,16/04/2025,00:17:12,1
1,16/04/2025,00:17:30,2
1,16/04/2025,00:17:48,2
1,16/04/2025,00:18:06,2
1,16/04/2025,00:18:24,1
1,16/04/2025,00:18:42,2
1,16/04/2025,00:19:00,3
1,16/04/2025,00:19:18,1
1,16/04/2025,00:19:36,1
1,16/04/2025,00:19:54,3
1,16/04/2025,00:20:12,1
1,16/04/2025,00:20:30,1
1,16/04/2025,00:20:47,1
1,16/04/2025,00:21:05,4
1,16/04/2025,00:21:23,4
1,16/04/2025,00:21:41,3
1,16/04/2025,00:21:59,2
1,16/04/2025,00:22:17,3
1,16/04/2025,00:22:35,2
1,16/04/2025,00:22:53,2
1,16/04/2025,00:23:11,1
1,16/04/2025,00:23:29,1
1,16/04/2025,00:23:47,1
1,16/04/2025,00:24:05,1
